analysis,component,metric,value
censoring,Event_1,n_total,5000
censoring,Event_1,n_events,1520
censoring,Event_1,n_censored,3480
censoring,Event_1,censoring_rate,69.6
censoring,Event_1,median_follow_up,574.2571974083571
censoring,Event_1,max_follow_up,574.2571974083571
censoring,Event_1,informative_censoring,False
censoring,Event_1,n_samples,5000
censoring,Event_2,n_total,5000
censoring,Event_2,n_events,1461
censoring,Event_2,n_censored,3539
censoring,Event_2,censoring_rate,70.78
censoring,Event_2,median_follow_up,574.2571974083571
censoring,Event_2,max_follow_up,574.2571974083571
censoring,Event_2,informative_censoring,False
censoring,Event_2,n_samples,5000
censoring,competing_risks,num_events,2
