analysis,component,metric,value
distribution,event_0,recommended_distribution,weibull
distribution,event_0,aic_best,weibull
distribution,event_0,aic_score,18696.551781606046
distribution,event_0,bic_best,weibull
distribution,event_0,bic_score,18707.204712833725
distribution,event_0,note,Both AIC and BIC favor weibull.
distribution,event_1,recommended_distribution,weibull
distribution,event_1,aic_best,weibull
distribution,event_1,aic_score,17912.380352097593
distribution,event_1,bic_best,weibull
distribution,event_1,bic_score,17922.954104921093
distribution,event_1,note,Both AIC and BIC favor weibull.
